msa_id,NAME,type,estimate,count,percap
16860,"Chattanooga, TN-GA",Metro Area,548359,104,1.9
25540,"Hartford-West Hartford-East Hartford, CT",Metro Area,1213123,65,0.54
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro Area,3526149,127,0.36
17980,"Columbus, GA-AL",Metro Area,309979,75,2.42
13900,"Bismarck, ND",Metro Area,128673,11,0.85
33740,"Monroe, LA",Metro Area,178970,43,2.4
13140,"Beaumont-Port Arthur, TX",Metro Area,408663,91,2.23
14540,"Bowling Green, KY",Metro Area,169250,37,2.19
41140,"St. Joseph, MO-KS",Metro Area,127137,17,1.34
45300,"Tampa-St. Petersburg-Clearwater, FL",Metro Area,2978209,267,0.9
36420,"Oklahoma City, OK",Metro Area,1353504,180,1.33
40660,"Rome, GA",Metro Area,96471,20,2.07
30980,"Longview, TX",Metro Area,216934,50,2.3
33340,"Milwaukee-Waukesha-West Allis, WI",Metro Area,1575101,74,0.47
30300,"Lewiston, ID-WA",Metro Area,62273,3,0.48
39820,"Redding, CA",Metro Area,178919,16,0.89
35660,"Niles-Benton Harbor, MI",Metro Area,154948,25,1.61
44100,"Springfield, IL",Metro Area,210550,29,1.38
45540,"The Villages, FL",Metro Area,116754,12,1.03
38340,"Pittsfield, MA",Metro Area,127751,10,0.78
35100,"New Bern, NC",Metro Area,125953,26,2.06
36540,"Omaha-Council Bluffs, NE-IA",Metro Area,914190,63,0.69
32780,"Medford, OR",Metro Area,212070,10,0.47
19780,"Des Moines-West Des Moines, IA",Metro Area,623113,45,0.72
11700,"Asheville, NC",Metro Area,445625,42,0.94
16620,"Charleston, WV",Metro Area,219964,58,2.64
32820,"Memphis, TN-MS-AR",Metro Area,1344058,231,1.72
49740,"Yuma, AZ",Metro Area,204281,21,1.03
26300,"Hot Springs, AR",Metro Area,97994,26,2.65
22020,"Fargo, ND-MN",Metro Area,232660,11,0.47
38940,"Port St. Lucie, FL",Metro Area,454482,36,0.79
30340,"Lewiston-Auburn, ME",Metro Area,107317,18,1.68
17780,"College Station-Bryan, TX",Metro Area,248554,31,1.25
19060,"Cumberland, MD-WV",Metro Area,100012,24,2.4
45060,"Syracuse, NY",Metro Area,659262,73,1.11
